Transaction ID,Date,Product Category,Product Subcategory,Quantity,Price per Unit,Total Sales,Cost of Goods Sold,Marketing Expense,Shipping Expense,Discount Applied,Customer ID,Region,Profit,Tax,Payment Method,Day of Week,Month,Quarter,Customer Segment,Sales Channel,Product Rating
765759,05-05-2023,Electronics,Audio Player,1,24158.99,24158.99,16846.23,1521.56,336.22,15%,7135,Uttarakhand,5454.98,2984.57,Credit Card,Friday,May,Q2,High-Value,Online,3.64
682601,31-01-2023,Fashion,Clothing,3,14724.89,44174.67,35234.06,2416.29,1009.65,10%,7134,Himachal Pradesh,5514.67,4942.49,Cash,Tuesday,January,Q1,High-Value,Online,4.03
828944,08-03-2023,Fashion,Shoes,3,6476.43,19429.29,12443.71,1019.01,1103.04,15%,5929,Maharastra,4863.53,2536.12,Debit Card,Wednesday,March,Q1,High-Value,Offline,4.41
805342,11-05-2023,Beauty,Skincare,3,6420.38,19261.14,11677.32,1340.14,1321.31,15%,3587,Maharastra,4922.37,1842.95,Debit Card,Thursday,May,Q2,High-Value,Online,4.32
841764,10-04-2023,Electronics,Mobiles,2,28505.55,57011.1,41543.45,3295.78,475.81,No Discount,3409,Himachal Pradesh,11696.06,7791.46,Debit Card,Monday,April,Q2,Low-Value,Online,2.57
593617,15-04-2023,Fashion,Clothing,5,34456.37,172281.85,109856.18,11466.39,809.87,15%,5634,Uttarakhand,50149.41,21757,UPI,Saturday,April,Q2,Low-Value,Online,3.21
736862,25-02-2023,Fashion,Accessories,1,34198.4,34198.4,24258.5,2418.63,165.86,No Discount,9711,Punjab,7355.41,4736.72,Credit Card,Saturday,February,Q1,Mid-Value,Offline,4.94
598327,31-05-2023,Home & Kitchen,Furniture,1,25036.13,25036.13,17269.09,1758.39,367.68,No Discount,1255,Uttarakhand,5640.97,1672.84,Debit Card,Wednesday,May,Q2,Mid-Value,Online,1.61
207169,14-11-2023,Electronics,Laptops,5,31826.58,159132.9,103043.22,8432.16,899.38,15%,4147,Uttarakhand,46758.14,11198.22,Cash,Tuesday,November,Q4,Mid-Value,Online,2.92
862567,12-06-2023,Home & Kitchen,Cookware,3,49763.94,149291.82,92488.48,12582.2,1039.09,5%,3400,Maharastra,43182.05,12678.77,Credit Card,Monday,June,Q2,High-Value,Retail Store,1.61
179920,06-03-2023,Electronics,Audio Player,1,11558.26,11558.26,8012.95,632.97,160.72,No Discount,2204,Punjab,2751.62,1256.33,Cash,Monday,March,Q1,Low-Value,Online,4.37
244787,03-01-2023,Fashion,Shoes,3,11049.57,33148.71,25495.63,2688.13,1158.01,15%,7215,Maharastra,3806.94,4055.74,Debit Card,Tuesday,January,Q1,High-Value,Offline,4.96
370339,08-09-2023,Fashion,Shoes,4,7885.91,31543.64,19397.29,3146.07,301.46,5%,6864,Madhya Pradesh,8698.82,4307.64,Credit Card,Friday,September,Q3,Low-Value,Retail Store,1.21
761466,03-03-2023,Fashion,Shoes,3,24116.65,72349.95,44850.25,6963.72,1184.45,No Discount,5744,Himachal Pradesh,19351.53,7868.36,Debit Card,Friday,March,Q1,Low-Value,Retail Store,1.66
400578,31-01-2023,Beauty,Fragrances,4,44581.99,178327.96,139067.6,10577.31,1837.36,10%,4555,Madhya Pradesh,26845.69,17843.49,UPI,Tuesday,January,Q1,High-Value,Online,1.5
379020,10-11-2023,Home & Kitchen,Cookware,1,30188.2,30188.2,23191.28,1964.11,270.74,5%,8206,Punjab,4762.07,2090.89,Debit Card,Friday,November,Q4,High-Value,Retail Store,2.81
719815,22-06-2023,Home & Kitchen,Decor,3,49210.53,147631.59,109946.15,11144.8,632.31,5%,5639,Punjab,25908.33,16663.04,Credit Card,Thursday,June,Q2,Mid-Value,Offline,3.22
521033,16-01-2023,Fashion,Accessories,2,37721.88,75443.76,55782.98,4391.09,247.46,5%,3494,Himachal Pradesh,15022.23,4976.94,Debit Card,Monday,January,Q1,Low-Value,Retail Store,3.68
749978,16-08-2023,Electronics,Audio Player,5,40574.79,202873.95,133994.55,18097.7,1937.41,15%,6617,Uttarakhand,48844.29,13186.11,Cash,Wednesday,August,Q3,Low-Value,Online,3.39
305914,12-12-2023,Fashion,Accessories,5,35576.67,177883.35,124916.15,17468.26,404.6,5%,9915,Himachal Pradesh,35094.34,9470.92,Credit Card,Tuesday,December,Q4,High-Value,Online,4.05
334031,19-10-2023,Electronics,TVs,5,9314.58,46572.9,35530.89,3109.85,773.76,5%,3644,Gujrat,7158.4,5090.98,Credit Card,Thursday,October,Q4,High-Value,Online,4.48
314064,20-06-2023,Home & Kitchen,Decor,3,9258.14,27774.42,17061.89,1803.34,454.47,10%,9664,Punjab,8454.72,3482.71,UPI,Tuesday,June,Q2,High-Value,Online,3.59
405474,31-05-2023,Beauty,Skincare,2,32919.45,65838.9,45123.83,5356.14,254.14,5%,4609,Uttarakhand,15104.79,9731.18,Debit Card,Wednesday,May,Q2,Low-Value,Online,1.64
687068,07-02-2023,Electronics,Mobiles,2,16649.75,33299.5,25401.79,1830.83,267.13,No Discount,5322,Gujrat,5799.75,3735.85,Credit Card,Tuesday,February,Q1,High-Value,Offline,4.4
171501,08-09-2023,Beauty,Makeup,4,27959.09,111836.36,69500.51,10572.46,372.33,5%,1315,Gujrat,31391.06,13580.84,Cash,Friday,September,Q3,High-Value,Online,3.61
248785,12-10-2023,Beauty,Skincare,5,32513.05,162565.25,109406.21,10393.84,2262.64,5%,9206,Uttarakhand,40502.56,20260.98,UPI,Thursday,October,Q4,High-Value,Retail Store,2.24
942072,31-05-2023,Electronics,TVs,1,35105.84,35105.84,26079.38,2183.72,337.53,10%,1577,Himachal Pradesh,6505.21,3266.12,Credit Card,Wednesday,May,Q2,Mid-Value,Online,3.41
725896,09-08-2023,Beauty,Skincare,1,16320.07,16320.07,10806.26,1036.68,447.95,No Discount,6377,Madhya Pradesh,4029.18,1827.77,UPI,Wednesday,August,Q3,High-Value,Retail Store,3.51
338034,16-02-2023,Electronics,Laptops,1,10941.63,10941.63,7318.2,773.3,76.37,10%,5733,Gujrat,2773.76,1424.25,Cash,Thursday,February,Q1,Low-Value,Retail Store,3.06
159915,22-02-2023,Electronics,Mobiles,5,23730.48,118652.4,76256.04,9331.45,482.41,No Discount,5501,Maharastra,32582.5,12857.4,Debit Card,Wednesday,February,Q1,High-Value,Retail Store,2.41
629564,18-03-2023,Fashion,Shoes,2,19110.4,38220.8,28095.58,1947.77,834.05,10%,6126,Himachal Pradesh,7343.4,4146.59,UPI,Saturday,March,Q1,Mid-Value,Offline,3.86
856671,29-01-2023,Home & Kitchen,Furniture,2,40244.15,80488.3,62558.93,7388.29,737.65,No Discount,8863,Gujrat,9803.43,7002.97,UPI,Sunday,January,Q1,Low-Value,Offline,3.53
548145,05-05-2023,Electronics,TVs,5,25188.63,125943.15,78008.36,7856.2,256.43,No Discount,4610,Maharastra,39822.16,16951.12,Debit Card,Friday,May,Q2,High-Value,Offline,2.66
868558,24-11-2023,Fashion,Accessories,5,5274.03,26370.15,16243.77,1476.68,2426.99,10%,7160,Gujrat,6222.71,2214.89,Cash,Friday,November,Q4,Low-Value,Online,4.11
654585,24-12-2023,Fashion,Shoes,1,9015.42,9015.42,6108.46,659.5,108.05,10%,6677,Punjab,2139.41,1078.79,Debit Card,Sunday,December,Q4,High-Value,Retail Store,1.96
141987,05-08-2023,Home & Kitchen,Appliances,3,9903.52,29710.56,23691.62,2182.78,1132.42,No Discount,3590,Haryana,2703.74,3423.79,Debit Card,Saturday,August,Q3,Low-Value,Online,3.19
667485,21-07-2023,Fashion,Clothing,1,15515.6,15515.6,11718.64,828.84,216.1,15%,1656,Himachal Pradesh,2752.02,1805.51,Debit Card,Friday,July,Q3,Mid-Value,Offline,3.5
392118,14-02-2023,Home & Kitchen,Cookware,1,47890.91,47890.91,37964.79,4587.46,174.35,5%,9120,Madhya Pradesh,5164.31,4876.95,Credit Card,Tuesday,February,Q1,Mid-Value,Retail Store,1.72
950224,12-04-2023,Electronics,Laptops,1,30421.14,30421.14,20652.58,1890.4,305.26,10%,5996,Haryana,7572.9,4549.32,Debit Card,Wednesday,April,Q2,Mid-Value,Retail Store,4.25
567828,16-10-2023,Electronics,Audio Player,1,20657.59,20657.59,14526.08,1998.29,279.75,No Discount,1372,Maharastra,3853.47,2180.51,Credit Card,Monday,October,Q4,Low-Value,Online,1.34
407427,06-12-2023,Fashion,Shoes,3,38762.51,116287.53,73688.21,8216.89,725.07,15%,5686,Gujrat,33657.36,8483.53,Cash,Wednesday,December,Q4,High-Value,Retail Store,3.77
946498,29-03-2023,Beauty,Skincare,5,25145.55,125727.75,98774.58,8584.63,1365.23,10%,1370,Uttarakhand,17003.31,16404.07,Credit Card,Wednesday,March,Q1,High-Value,Retail Store,1.43
705203,19-03-2023,Fashion,Shoes,1,10793.92,10793.92,7521.72,765.75,373.23,15%,8429,Punjab,2133.22,1459.27,Debit Card,Sunday,March,Q1,High-Value,Offline,3.66
431036,05-09-2023,Electronics,Mobiles,1,30980.92,30980.92,20289.17,2583.4,57.97,15%,7047,Haryana,8050.38,1791.74,Credit Card,Tuesday,September,Q3,Low-Value,Offline,3.77
532734,15-03-2023,Beauty,Haircare,4,11095.31,44381.24,27076.34,4330.27,722.97,No Discount,3385,Himachal Pradesh,12251.66,3720.92,Cash,Wednesday,March,Q1,High-Value,Online,4.25
785135,18-05-2023,Fashion,Shoes,4,27630.38,110521.52,75834.41,8732.87,1591.29,15%,9509,Maharastra,24362.95,16281.31,Cash,Thursday,May,Q2,Mid-Value,Online,4.06
179609,13-02-2023,Electronics,Laptops,2,29200.84,58401.68,43110.49,3661.6,735.02,15%,7845,Madhya Pradesh,10894.57,8532.4,Debit Card,Monday,February,Q1,Low-Value,Online,1.36
139646,28-05-2023,Beauty,Skincare,5,13632.43,68162.15,53073.63,5166.75,2467.99,15%,5785,Himachal Pradesh,7453.78,7264.04,Cash,Sunday,May,Q2,High-Value,Retail Store,4.22
687066,19-04-2023,Fashion,Clothing,5,24481.36,122406.8,91826.98,8504.81,1289.9,No Discount,8840,Gujrat,20785.11,14307.27,Cash,Wednesday,April,Q2,High-Value,Retail Store,2.5
751496,03-12-2023,Electronics,Laptops,2,21999.18,43998.36,30452.02,2513.17,347.05,10%,3208,Punjab,10686.12,2492.76,Debit Card,Sunday,December,Q4,High-Value,Retail Store,4.54
271173,05-12-2023,Home & Kitchen,Appliances,5,8337.37,41686.85,26802.22,3744.06,1027.47,10%,2834,Maharastra,10113.1,5306.15,UPI,Tuesday,December,Q4,Low-Value,Online,3.58
251414,14-02-2023,Beauty,Skincare,5,38787.96,193939.8,143810.7,14167.44,1505.66,5%,8059,Haryana,34456,19990.48,Debit Card,Tuesday,February,Q1,Low-Value,Offline,4.34
409789,11-10-2023,Fashion,Accessories,4,33638.17,134552.68,85132.91,12426.21,1556.46,15%,8153,Gujrat,35437.1,16956.33,Cash,Wednesday,October,Q4,High-Value,Offline,1.04
574610,19-11-2023,Fashion,Shoes,1,21786.86,21786.86,16372.61,1487.17,201.4,10%,9622,Madhya Pradesh,3725.68,2507.34,UPI,Sunday,November,Q4,High-Value,Online,2.87
168503,04-12-2023,Home & Kitchen,Appliances,1,34032.72,34032.72,26316.22,1763.6,112.19,No Discount,6304,Haryana,5840.71,1975.01,UPI,Monday,December,Q4,Mid-Value,Retail Store,1.02
496494,02-10-2023,Electronics,Audio Player,2,27419.98,54839.96,38782.82,4782.19,523.73,No Discount,8177,Uttarakhand,10751.22,4652.38,Debit Card,Monday,October,Q4,High-Value,Retail Store,4.46
199108,19-02-2023,Home & Kitchen,Appliances,1,26298.04,26298.04,20341.83,1513.52,162.75,No Discount,1089,Madhya Pradesh,4279.94,1423.17,Cash,Sunday,February,Q1,Mid-Value,Retail Store,1.16
445898,05-02-2023,Beauty,Makeup,3,38917.32,116751.96,71926.62,8257.58,1390.27,5%,4590,Gujrat,35177.49,15779.77,Debit Card,Sunday,February,Q1,High-Value,Retail Store,4.03
157097,18-04-2023,Fashion,Shoes,3,23556.45,70669.35,48134.69,6976.88,825.21,No Discount,3962,Himachal Pradesh,14732.57,6531.2,Cash,Tuesday,April,Q2,Low-Value,Online,3.85
773259,21-02-2023,Home & Kitchen,Decor,2,34884.54,69769.08,49918.57,3908.34,895.87,5%,4036,Madhya Pradesh,15046.3,10306.6,Cash,Tuesday,February,Q1,High-Value,Offline,4.96
646725,10-02-2023,Electronics,Audio Player,1,48719.05,48719.05,35331.35,2739.61,70.68,15%,1495,Uttarakhand,10577.41,3055.51,Credit Card,Friday,February,Q1,Low-Value,Offline,1.31
349672,13-06-2023,Home & Kitchen,Furniture,2,14589.77,29179.54,20497.27,2668.77,751.84,10%,6525,Maharastra,5261.66,2816.51,Credit Card,Tuesday,June,Q2,Low-Value,Online,1.32
674173,21-03-2023,Beauty,Makeup,5,44730.51,223652.55,174309.46,13667.39,652,5%,1391,Maharastra,35023.7,13474.19,Credit Card,Tuesday,March,Q1,High-Value,Retail Store,3.8
932432,26-02-2023,Electronics,TVs,4,21331.1,85324.4,51577.87,7831.85,1512.82,15%,5746,Maharastra,24401.86,7798.99,Debit Card,Sunday,February,Q1,High-Value,Retail Store,4.22
955856,21-04-2023,Fashion,Accessories,4,6084.62,24338.48,17157.47,1599.3,1050.93,No Discount,2916,Himachal Pradesh,4530.78,2873.08,Debit Card,Friday,April,Q2,High-Value,Retail Store,3.11
154045,30-04-2023,Beauty,Skincare,2,33408.58,66817.16,42202.23,4210.67,141.07,15%,6594,Haryana,20263.19,6455.72,Debit Card,Sunday,April,Q2,Low-Value,Offline,3.83
526295,04-12-2023,Electronics,TVs,3,21724.4,65173.2,41175.74,5406.31,298.57,15%,2886,Haryana,18292.58,7455.16,Credit Card,Monday,December,Q4,High-Value,Offline,4.08
711955,07-01-2023,Electronics,Mobiles,4,49689.36,198757.44,143160.63,10691.13,662.29,5%,2568,Gujrat,44243.39,15594.1,Credit Card,Saturday,January,Q1,High-Value,Retail Store,3.38
921824,17-05-2023,Electronics,Audio Player,3,28366.54,85099.62,61448.14,7239.28,1484.37,5%,9201,Madhya Pradesh,14927.83,6924.05,Cash,Wednesday,May,Q2,Low-Value,Offline,1.13
134234,19-04-2023,Beauty,Haircare,4,20624.43,82497.72,60816.08,6956.32,727.01,5%,8961,Madhya Pradesh,13998.31,8388.48,Debit Card,Wednesday,April,Q2,High-Value,Online,3.49
987307,15-07-2023,Fashion,Shoes,1,40119.32,40119.32,30212.59,2722.12,285.49,10%,1001,Uttarakhand,6899.12,3964.48,Debit Card,Saturday,July,Q3,Mid-Value,Offline,1.68
297665,07-09-2023,Fashion,Shoes,5,41844.42,209222.1,132188.39,19365.7,2439.42,No Discount,5111,Maharastra,55228.59,19690,Cash,Thursday,September,Q3,Mid-Value,Retail Store,3.31
623813,20-03-2023,Beauty,Makeup,1,7677.63,7677.63,5900.52,635.7,212.47,15%,9849,Madhya Pradesh,928.94,545.71,Credit Card,Monday,March,Q1,Low-Value,Retail Store,1.13
696951,30-03-2023,Beauty,Fragrances,1,22534.79,22534.79,15810.72,1416.69,156.37,5%,5347,Himachal Pradesh,5151.01,1784.59,Cash,Thursday,March,Q1,High-Value,Retail Store,3.42
207355,02-08-2023,Fashion,Clothing,3,13231.29,39693.87,28552.97,3547.71,714.74,10%,1653,Haryana,6878.45,3482.73,Cash,Wednesday,August,Q3,Low-Value,Offline,2.2
484438,26-09-2023,Electronics,Mobiles,4,36071.71,144286.84,89345.14,9065.82,463.96,10%,1208,Gujrat,45411.92,13201.81,Debit Card,Tuesday,September,Q3,High-Value,Online,2.74
747308,12-07-2023,Home & Kitchen,Furniture,1,27727.76,27727.76,19049.11,2116.44,175.55,15%,5690,Himachal Pradesh,6386.66,2197.44,Cash,Wednesday,July,Q3,Low-Value,Offline,4.55
470841,11-03-2023,Home & Kitchen,Appliances,4,9636.53,38546.12,26757.99,2349.41,325.38,5%,6140,Uttarakhand,9113.34,4762.37,UPI,Saturday,March,Q1,Mid-Value,Online,3.23
981440,18-12-2023,Fashion,Accessories,4,14636.17,58544.68,46684.57,3766.77,1827.06,10%,3002,Punjab,6266.28,8775.81,Cash,Monday,December,Q4,Low-Value,Retail Store,2.62
851168,09-09-2023,Home & Kitchen,Appliances,3,43486.18,130458.54,81488.21,6971.5,1265.36,15%,8764,Himachal Pradesh,40733.47,12253.56,UPI,Saturday,September,Q3,Mid-Value,Offline,3.19
459794,09-01-2023,Fashion,Clothing,5,9224.58,46122.9,35403.54,4531.33,1638.02,No Discount,4996,Gujrat,4550.01,5223.81,Credit Card,Monday,January,Q1,Mid-Value,Retail Store,3.5
837803,21-09-2023,Home & Kitchen,Cookware,1,45530.02,45530.02,28357.59,2845.64,183.98,15%,4181,Punjab,14142.81,2671.89,UPI,Thursday,September,Q3,High-Value,Offline,3.72
967713,09-09-2023,Electronics,TVs,5,15917.86,79589.3,50351.5,6739.52,670.12,5%,9397,Punjab,21828.16,10712.41,Cash,Saturday,September,Q3,Low-Value,Offline,2.05
764971,26-04-2023,Beauty,Haircare,5,16373.72,81868.6,50292.43,5243.32,629.9,15%,8651,Himachal Pradesh,25702.95,5765.35,Credit Card,Wednesday,April,Q2,Low-Value,Online,4.07
957562,11-05-2023,Home & Kitchen,Appliances,1,34863.89,34863.89,27079.98,2234.73,209.82,15%,8438,Himachal Pradesh,5339.36,2483.69,UPI,Thursday,May,Q2,High-Value,Retail Store,3.2
980115,16-12-2023,Fashion,Clothing,3,8810.25,26430.75,20159.88,1550.47,494.76,15%,2469,Himachal Pradesh,4225.64,1401.5,Credit Card,Saturday,December,Q4,Low-Value,Retail Store,2.57
147188,05-06-2023,Beauty,Skincare,4,7909.96,31639.84,22864.04,2427.85,1016.75,15%,2152,Madhya Pradesh,5331.2,2588.01,Cash,Monday,June,Q2,Mid-Value,Offline,2.69
392698,22-10-2023,Home & Kitchen,Cookware,4,8637.54,34550.16,26979.82,3152.54,1771.42,15%,1614,Madhya Pradesh,2646.38,3684.7,Credit Card,Sunday,October,Q4,Low-Value,Offline,2.98
947491,22-12-2023,Electronics,Mobiles,1,11185.64,11185.64,6820.85,1008.84,369.96,10%,8186,Himachal Pradesh,2985.99,1605.47,UPI,Friday,December,Q4,Low-Value,Online,1.16
568800,24-10-2023,Fashion,Clothing,5,36100.5,180502.5,129562.22,9559.65,1025.73,No Discount,4394,Madhya Pradesh,40354.9,22021.12,Credit Card,Tuesday,October,Q4,Mid-Value,Offline,1.53
376125,30-01-2023,Fashion,Accessories,1,19337.11,19337.11,13133.1,1699.27,315.12,15%,2889,Himachal Pradesh,4189.62,2464.72,Debit Card,Monday,January,Q1,Low-Value,Online,3.75
915139,06-09-2023,Electronics,TVs,2,10388.31,20776.62,14822,1966.43,566.95,No Discount,9482,Uttarakhand,3421.24,2420.56,Debit Card,Wednesday,September,Q3,High-Value,Offline,4.26
939792,23-06-2023,Home & Kitchen,Appliances,5,30520.34,152601.7,102010.15,10413.21,547.2,5%,2785,Gujrat,39631.14,14283.49,Debit Card,Friday,June,Q2,Mid-Value,Offline,3.97
774339,29-10-2023,Beauty,Fragrances,3,12901,38703,26177.59,3515.57,806.91,15%,9066,Gujrat,8202.93,2352.14,Debit Card,Sunday,October,Q4,High-Value,Retail Store,2.31
530678,02-07-2023,Electronics,Laptops,4,7040.84,28163.36,17147.3,1417.74,341.37,10%,3487,Madhya Pradesh,9256.95,2462.92,Cash,Sunday,July,Q3,Low-Value,Online,3.99
987193,10-06-2023,Beauty,Skincare,3,36479.34,109438.02,77402.87,6065.2,694.11,5%,4103,Uttarakhand,25275.84,9854.89,Cash,Saturday,June,Q2,High-Value,Offline,1.03
534503,04-01-2023,Home & Kitchen,Appliances,3,8484.28,25452.84,15414.77,1782.53,326.37,No Discount,2829,Uttarakhand,7929.17,3036.86,Credit Card,Wednesday,January,Q1,Low-Value,Offline,2.64
886154,25-09-2023,Home & Kitchen,Appliances,4,38467.71,153870.84,117537.92,11395.09,328.4,10%,2108,Himachal Pradesh,24609.43,21965.3,Cash,Monday,September,Q3,Low-Value,Retail Store,3.51
636441,25-01-2023,Beauty,Makeup,1,15132.59,15132.59,11218.5,1198.36,187.32,15%,3143,Himachal Pradesh,2528.41,2162.64,Credit Card,Wednesday,January,Q1,Mid-Value,Offline,1.15
661691,13-06-2023,Home & Kitchen,Decor,5,37487.33,187436.65,115669.61,10972.79,391.97,10%,8154,Gujrat,60402.28,20405.51,Credit Card,Tuesday,June,Q2,Low-Value,Retail Store,3.96
522326,11-05-2023,Electronics,Audio Player,2,5038.15,10076.3,7704.6,895.48,207.88,5%,4863,Madhya Pradesh,1268.34,531.48,UPI,Thursday,May,Q2,High-Value,Online,1.24
958853,27-11-2023,Electronics,Audio Player,5,37685.03,188425.15,124267.7,12277.22,2152.95,No Discount,1038,Maharastra,49727.28,11425.75,Debit Card,Monday,November,Q4,High-Value,Retail Store,1.82
919770,10-05-2023,Home & Kitchen,Furniture,5,38469.29,192346.45,145517.6,12883.76,1115.48,15%,6613,Haryana,32829.61,21127.43,UPI,Wednesday,May,Q2,Mid-Value,Online,4.16
624982,17-09-2023,Beauty,Skincare,4,29551.42,118205.68,92647.06,10117.37,641.16,15%,9227,Madhya Pradesh,14800.09,6542.97,Credit Card,Sunday,September,Q3,Mid-Value,Offline,4.74
438698,26-10-2023,Home & Kitchen,Appliances,5,38532.78,192663.9,120314.58,10061.64,1360.14,No Discount,9532,Uttarakhand,60927.54,13604.76,UPI,Thursday,October,Q4,Low-Value,Retail Store,3.19
233227,11-06-2023,Fashion,Clothing,4,36768.88,147075.52,92141.51,8929.06,512.15,15%,4296,Gujrat,45492.8,21887.23,Debit Card,Sunday,June,Q2,High-Value,Offline,2.38
781234,13-12-2023,Beauty,Fragrances,4,23488.12,93952.48,69223.52,5507.04,554.72,10%,6290,Haryana,18667.2,13896.32,UPI,Wednesday,December,Q4,Mid-Value,Offline,2.78
341472,17-09-2023,Beauty,Fragrances,4,10423.02,41692.08,29957.78,2869.23,460.22,No Discount,9670,Madhya Pradesh,8404.85,5484.95,UPI,Sunday,September,Q3,Low-Value,Offline,2.27
945894,08-11-2023,Home & Kitchen,Decor,2,43191.35,86382.7,57284.32,7740.62,552.55,5%,3760,Gujrat,20805.21,4841.89,Cash,Wednesday,November,Q4,High-Value,Online,1.14
222481,06-07-2023,Fashion,Clothing,2,44922.88,89845.76,60476.26,8295.51,814.07,No Discount,6380,Maharastra,20259.92,11295.77,Debit Card,Thursday,July,Q3,High-Value,Online,3.46
360943,26-04-2023,Beauty,Fragrances,4,7748.65,30994.6,23535.22,2144.77,1814.17,5%,6468,Gujrat,3500.44,3701.78,Credit Card,Wednesday,April,Q2,Low-Value,Online,1.87
824646,11-07-2023,Fashion,Accessories,3,11320.96,33962.88,25772.08,1739.48,169.47,10%,9638,Himachal Pradesh,6281.85,2244.58,UPI,Tuesday,July,Q3,High-Value,Offline,1.2
373363,29-05-2023,Home & Kitchen,Decor,2,18330.89,36661.78,25170.08,2477.11,112.85,15%,9638,Madhya Pradesh,8901.74,2721.2,Debit Card,Monday,May,Q2,High-Value,Retail Store,4.11
